               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11509,            0.030372,            0.046852,           0.0010094,             0.24244,           0.0011417,          0.00032962,             0.07957,            0.022152,            0.036542,              0.0919,              0.0009,              0.0009
                   1,             0.08908,            0.033662,            0.042688,           0.0045479,             0.71046,            0.011162,           0.0031277,            0.058655,             0.02241,            0.033234,            0.082898,           0.0018981,           0.0018981
                   2,            0.072941,            0.035045,             0.03666,             0.59767,              0.1694,            0.089697,             0.02671,            0.058625,            0.018273,            0.031042,            0.073894,           0.0028943,           0.0028943
                   3,            0.066412,            0.029729,            0.033548,             0.12211,             0.37126,             0.12433,              0.0479,            0.059395,             0.01742,            0.028726,            0.064888,           0.0038884,           0.0038884
                   4,            0.065953,            0.026608,            0.031919,            0.085013,             0.26898,             0.14207,            0.046157,            0.062335,            0.015579,            0.027472,            0.055881,           0.0048806,           0.0048806
                   5,            0.066845,            0.025267,            0.029419,             0.29973,              0.4473,             0.27651,            0.096641,            0.056377,            0.014202,            0.024687,            0.046871,           0.0058708,           0.0058708
                   6,            0.067032,            0.023611,            0.026813,             0.17887,             0.39585,             0.21849,            0.097215,            0.064366,            0.012015,             0.02213,            0.037859,            0.006859,            0.006859
                   7,            0.068896,            0.022815,            0.022196,             0.28593,             0.51888,             0.29787,             0.12871,            0.053185,            0.012053,            0.018466,            0.028845,           0.0078453,           0.0078453
                   8,            0.065609,             0.02093,            0.018056,             0.30499,             0.49444,             0.31225,             0.12553,            0.060251,            0.011366,            0.016953,             0.01983,           0.0088295,           0.0088295
                   9,             0.06365,             0.01916,            0.016317,             0.36123,              0.5123,             0.37563,             0.15892,            0.054634,            0.011953,             0.01586,            0.010812,           0.0098118,           0.0098118
                  10,            0.061075,               0.019,            0.015388,             0.45322,             0.50583,              0.4583,             0.17609,            0.053334,            0.011996,            0.013605,            0.009901,            0.009901,            0.009901
                  11,            0.057881,            0.016777,            0.013534,             0.42378,             0.53094,             0.44346,             0.21014,            0.053722,            0.012652,            0.013286,            0.009901,            0.009901,            0.009901
                  12,            0.055805,            0.017504,             0.01201,             0.41747,             0.52686,             0.49476,               0.198,            0.050658,            0.012567,             0.01601,           0.0098911,           0.0098911,           0.0098911
                  13,            0.054301,            0.016375,            0.010508,             0.43541,             0.52888,             0.51307,             0.24992,            0.048327,            0.012398,            0.014944,           0.0098812,           0.0098812,           0.0098812
                  14,            0.050726,            0.015406,           0.0089116,             0.56563,             0.67104,             0.64202,             0.30707,            0.041923,             0.01088,            0.011806,           0.0098713,           0.0098713,           0.0098713
                  15,            0.047554,            0.015572,           0.0088652,             0.55847,             0.67631,             0.63018,             0.32244,             0.03959,            0.011112,             0.01138,           0.0098614,           0.0098614,           0.0098614
                  16,            0.047217,            0.014365,           0.0089003,             0.33511,             0.75534,             0.53799,             0.24927,            0.043045,            0.011011,            0.013163,           0.0098515,           0.0098515,           0.0098515
                  17,             0.04711,             0.01537,           0.0076125,             0.55247,             0.64683,             0.62131,             0.25876,            0.042171,            0.010667,            0.010228,           0.0098416,           0.0098416,           0.0098416
                  18,            0.045036,            0.014979,           0.0074379,              0.6258,             0.64478,             0.67027,             0.30985,            0.041577,             0.01044,            0.010387,           0.0098317,           0.0098317,           0.0098317
                  19,            0.043953,            0.015004,            0.008301,             0.69626,             0.72153,             0.73431,             0.33349,             0.03853,            0.010487,            0.010081,           0.0098218,           0.0098218,           0.0098218
                  20,            0.044304,            0.014667,           0.0064856,             0.66129,             0.74844,             0.70524,             0.33648,            0.038187,             0.01055,            0.011046,           0.0098119,           0.0098119,           0.0098119
                  21,            0.043995,            0.015857,            0.006873,             0.59492,             0.74588,             0.68034,             0.31057,            0.040814,             0.01103,           0.0085571,            0.009802,            0.009802,            0.009802
                  22,            0.042533,            0.014087,           0.0064538,             0.67733,             0.65982,             0.69566,             0.32763,             0.03937,            0.010318,            0.010596,           0.0097921,           0.0097921,           0.0097921
                  23,            0.042039,            0.014771,            0.006056,             0.79183,             0.68572,             0.74404,             0.34773,            0.036806,            0.010721,           0.0089447,           0.0097822,           0.0097822,           0.0097822
                  24,             0.04183,            0.014484,           0.0050894,             0.50209,             0.57507,             0.50178,             0.20818,             0.04737,            0.011471,            0.014146,           0.0097723,           0.0097723,           0.0097723
                  25,            0.040558,            0.015174,           0.0075465,             0.59584,             0.67872,             0.60329,             0.29844,            0.038054,            0.011475,            0.014038,           0.0097624,           0.0097624,           0.0097624
                  26,            0.040468,             0.01327,           0.0077195,             0.62663,             0.65043,             0.66615,             0.32794,            0.039718,            0.011325,            0.018636,           0.0097525,           0.0097525,           0.0097525
                  27,            0.040566,             0.01461,           0.0065781,             0.72909,             0.78329,             0.80219,              0.4131,            0.034083,            0.010398,             0.01049,           0.0097426,           0.0097426,           0.0097426
                  28,            0.040214,            0.012383,           0.0055789,             0.74743,             0.73552,             0.76465,             0.37927,            0.037042,            0.010525,           0.0086075,           0.0097327,           0.0097327,           0.0097327
                  29,            0.039247,            0.013742,           0.0047287,             0.71222,             0.67089,             0.73028,               0.344,            0.036185,            0.010375,            0.012692,           0.0097228,           0.0097228,           0.0097228
                  30,            0.039358,            0.013963,           0.0055763,             0.80083,             0.68392,             0.77596,             0.39793,            0.035568,            0.010704,            0.010423,           0.0097129,           0.0097129,           0.0097129
                  31,            0.036379,            0.013708,           0.0053299,             0.76479,             0.70917,             0.75119,             0.35659,            0.035899,            0.010751,            0.010156,            0.009703,            0.009703,            0.009703
                  32,            0.038171,            0.014104,           0.0049861,             0.74812,             0.76351,              0.7951,              0.4184,            0.035294,            0.010849,            0.011121,           0.0096931,           0.0096931,           0.0096931
                  33,             0.03751,            0.011817,           0.0055455,             0.81853,             0.69041,             0.78664,             0.34032,            0.036998,            0.010262,            0.010382,           0.0096832,           0.0096832,           0.0096832
                  34,             0.03709,            0.013755,           0.0044798,              0.7229,             0.79204,              0.7844,             0.41031,            0.031669,             0.01014,            0.011501,           0.0096733,           0.0096733,           0.0096733
                  35,            0.036531,            0.013516,           0.0046175,             0.69602,             0.76739,             0.78872,              0.3914,            0.032308,            0.010652,            0.013118,           0.0096634,           0.0096634,           0.0096634
                  36,            0.035996,            0.012716,           0.0055605,             0.83683,             0.83872,             0.86978,             0.43616,            0.032766,            0.010428,           0.0074242,           0.0096535,           0.0096535,           0.0096535
                  37,            0.037326,            0.014846,           0.0049543,              0.8398,             0.78976,              0.8365,             0.42199,            0.032963,            0.010256,           0.0092377,           0.0096436,           0.0096436,           0.0096436
                  38,            0.036438,            0.013636,           0.0052215,             0.80902,             0.73789,              0.8005,              0.4185,            0.033898,            0.010687,             0.01241,           0.0096337,           0.0096337,           0.0096337
                  39,            0.036056,            0.013854,           0.0056175,             0.80192,              0.7268,             0.76151,             0.36857,            0.037543,            0.011854,            0.011942,           0.0096238,           0.0096238,           0.0096238
                  40,            0.036674,            0.013944,           0.0047682,             0.80596,             0.75694,             0.80035,             0.40304,            0.034586,            0.011729,             0.01164,           0.0096139,           0.0096139,           0.0096139
                  41,            0.035006,             0.01322,           0.0047396,             0.71848,             0.77596,             0.71526,              0.3488,            0.035052,            0.011387,            0.012181,            0.009604,            0.009604,            0.009604
                  42,             0.03557,            0.012912,            0.003962,             0.87653,             0.83484,             0.88312,             0.43484,            0.032723,             0.01016,           0.0077759,           0.0095941,           0.0095941,           0.0095941
                  43,            0.034451,            0.012989,           0.0041158,             0.88311,             0.80578,             0.88953,             0.45071,            0.031845,            0.010402,           0.0089287,           0.0095842,           0.0095842,           0.0095842
                  44,            0.035003,            0.012732,           0.0039153,              0.8824,             0.78945,             0.89122,             0.46543,            0.030616,            0.010462,           0.0097458,           0.0095743,           0.0095743,           0.0095743
                  45,            0.034026,            0.012578,           0.0046804,             0.89436,             0.79665,             0.87869,             0.45634,            0.032483,            0.010534,             0.01049,           0.0095644,           0.0095644,           0.0095644
                  46,            0.032854,            0.012505,           0.0038473,             0.82337,             0.76293,              0.8111,             0.38537,            0.033444,            0.011442,            0.011992,           0.0095545,           0.0095545,           0.0095545
                  47,            0.035338,            0.013227,           0.0045507,             0.82442,             0.73306,             0.82173,             0.40745,            0.032662,            0.010491,            0.010428,           0.0095446,           0.0095446,           0.0095446
                  48,             0.03424,            0.012723,           0.0039247,             0.80357,             0.82027,             0.86914,             0.44777,            0.032143,            0.010047,            0.011279,           0.0095347,           0.0095347,           0.0095347
                  49,            0.033246,            0.012965,           0.0032207,             0.90923,             0.80704,             0.87347,             0.44772,            0.032345,           0.0099764,            0.013508,           0.0095248,           0.0095248,           0.0095248
                  50,            0.034152,            0.012412,           0.0049847,             0.86622,             0.76807,             0.81104,             0.38062,            0.032908,            0.010526,             0.01306,           0.0095149,           0.0095149,           0.0095149
                  51,            0.033454,            0.012405,           0.0038081,             0.80967,             0.76806,             0.82252,             0.40654,            0.032933,            0.010569,            0.012149,            0.009505,            0.009505,            0.009505
                  52,            0.032978,            0.012868,           0.0033462,             0.81402,             0.82669,             0.80721,             0.41874,            0.032026,            0.010809,             0.01018,           0.0094951,           0.0094951,           0.0094951
                  53,            0.032403,            0.013034,           0.0035543,             0.79439,             0.80287,             0.80015,             0.43058,            0.032473,            0.010774,            0.011331,           0.0094852,           0.0094852,           0.0094852
                  54,             0.03133,            0.012879,           0.0042871,             0.86446,             0.78112,             0.86105,             0.46783,            0.031992,            0.010424,           0.0084862,           0.0094753,           0.0094753,           0.0094753
                  55,            0.032517,            0.011553,           0.0038916,             0.83169,              0.8215,              0.8617,             0.43432,            0.032159,            0.010275,           0.0072731,           0.0094654,           0.0094654,           0.0094654
                  56,            0.032507,            0.012261,            0.003563,             0.83855,             0.82865,             0.85179,             0.46848,             0.02914,            0.010231,           0.0093628,           0.0094555,           0.0094555,           0.0094555
                  57,            0.031586,            0.011715,           0.0029471,             0.82026,             0.85145,              0.8676,             0.45428,            0.031966,            0.010265,           0.0096695,           0.0094456,           0.0094456,           0.0094456
                  58,            0.032351,            0.012458,           0.0037734,             0.85678,             0.80912,             0.86785,             0.48389,            0.030145,            0.010093,            0.010085,           0.0094357,           0.0094357,           0.0094357
                  59,            0.032782,            0.012142,           0.0035737,             0.83736,             0.80446,             0.82032,             0.44034,            0.031623,            0.010078,            0.016153,           0.0094258,           0.0094258,           0.0094258
                  60,            0.031097,            0.012381,           0.0037435,             0.83982,             0.77042,             0.83005,             0.43788,            0.032025,            0.010339,            0.016832,           0.0094159,           0.0094159,           0.0094159
                  61,            0.031064,            0.011776,           0.0041687,             0.90211,             0.77966,             0.84954,             0.46675,            0.031417,            0.010046,            0.010616,            0.009406,            0.009406,            0.009406
                  62,             0.02991,            0.012432,           0.0034253,             0.81792,             0.83458,             0.85717,             0.47558,            0.029995,            0.010094,           0.0092041,           0.0093961,           0.0093961,           0.0093961
                  63,            0.030569,            0.011956,           0.0035372,             0.79694,             0.80979,             0.84746,             0.46302,            0.031881,            0.010346,            0.011278,           0.0093862,           0.0093862,           0.0093862
                  64,            0.031522,             0.01234,           0.0036256,             0.80979,             0.76649,             0.81911,             0.45273,            0.031282,            0.010638,            0.013118,           0.0093763,           0.0093763,           0.0093763
                  65,            0.032544,            0.012143,           0.0042035,             0.78332,             0.70143,             0.73992,             0.39217,            0.031785,            0.011773,            0.013904,           0.0093664,           0.0093664,           0.0093664
                  66,            0.029942,            0.011722,           0.0033275,              0.8616,             0.80296,              0.8681,             0.49571,            0.030369,             0.01015,           0.0099518,           0.0093565,           0.0093565,           0.0093565
                  67,            0.032138,            0.011678,           0.0032097,             0.82517,             0.78463,             0.83577,             0.47269,            0.031365,            0.010328,            0.012196,           0.0093466,           0.0093466,           0.0093466
                  68,            0.030678,            0.011821,           0.0030079,             0.89321,             0.84493,             0.88616,             0.47951,            0.030588,           0.0097815,           0.0090164,           0.0093367,           0.0093367,           0.0093367
